Director;Type;Characters;Genre;Location;Temporal collocation;Saga;Duration;First viewing;id;isChosen;gender;age;resp.id;ques;alt
Tim Burton;Animation film;Animals;Thriller;Europe;2100;Yes;1h 40min;Platforms;2078;1;M;23;1;7;right
Christopher Nolan;Live-action;Humans;Science-fiction;Europe;2022;Yes;2h;Cinema;1048;0;M;23;1;8;left
Steven Spielberg;Animation film;Humans;Thriller;Japan;2022;Yes;1h 40min;Platforms;1965;0;M;23;1;8;center
Christopher Nolan;Animation film;Humans;Science-fiction;United States of America;2100;Yes;1h 40min;Platforms;2017;1;M;23;1;8;right
Tim Burton;Animation film;Animals;Science-fiction;Japan;2100;Yes;2h;Platforms;2960;0;M;23;1;9;left
Steven Spielberg;Live-action;Humans;Science-fiction;United States of America;End of the 19th century;No;2h;Platforms;3030;0;M;23;1;9;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Mars;End of the 19th century;Yes;1h 40min;Cinema;144;1;M;23;1;9;right
Christopher Nolan;Animation film;Animals;Thriller;Mars;2022;No;1h 40min;Cinema;709;0;M;23;1;10;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Mars;2100;Yes;1h 40min;Platforms;2139;0;M;23;1;10;center
Steven Spielberg;Live-action;Humans;Thriller;United States of America;2100;Yes;1h 40min;Platforms;2040;1;M;23;1;10;right
Steven Spielberg;Live-action;Animals;Thriller;Europe;End of the 19th century;Yes;1h 40min;Cinema;66;0;M;23;1;11;left
Steven Spielberg;Live-action;Animals;Thriller;United States of America;End of the 19th century;No;2h;Cinema;1326;0;M;23;1;11;center
Steven Spielberg;Animation film;Animals;Science-fiction;Europe;2022;Yes;2h;Platforms;2781;1;M;23;1;11;right
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;Yes;2h;Platforms;2606;0;M;23;1;12;left
Steven Spielberg;Live-action;Humans;Science-fiction;Japan;2022;No;2h;Platforms;3246;1;M;23;1;12;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Mars;End of the 19th century;No;1h 40min;Platforms;2304;0;M;23;1;12;right
Steven Spielberg;Animation film;Humans;Science-fiction;Mars;2022;No;2h;Platforms;3279;0;M;23;1;13;left
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Europe;2100;Yes;1h 40min;Platforms;2083;1;M;23;1;13;center
Steven Spielberg;Animation film;Animals;Science-fiction;Japan;End of the 19th century;Yes;1h 40min;Platforms;1809;0;M;23;1;13;right
Steven Spielberg;Animation film;Animals;Thriller;Mars;2022;Yes;1h 40min;Cinema;279;0;M;23;1;14;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Japan;2100;Yes;1h 40min;Cinema;393;0;M;23;1;14;center
Steven Spielberg;Live-action;Humans;Thriller;Europe;2100;Yes;2h;Platforms;2940;1;M;23;1;14;right
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Mars;2100;Yes;1h 40min;Platforms;2160;1;M;23;1;15;left
Steven Spielberg;Live-action;Animals;Science-fiction;United States of America;End of the 19th century;No;1h 40min;Cinema;444;0;M;23;1;15;center
Christopher Nolan;Animation film;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;Yes;2h;Cinema;949;0;M;23;1;15;right
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Mars;2100;No;2h;Platforms;3438;1;M;21;2;16;left
Christopher Nolan;Animation film;Animals;Thriller;Mars;End of the 19th century;No;1h 40min;Cinema;565;0;M;21;2;16;center
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Japan;End of the 19th century;No;2h;Platforms;3127;0;M;21;2;16;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Europe;2022;Yes;1h 40min;Platforms;1923;1;M;21;2;17;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Europe;2100;Yes;1h 40min;Cinema;339;0;M;21;2;17;center
Tim Burton;Animation film;Animals;Science-fiction;Mars;2022;No;1h 40min;Cinema;692;0;M;21;2;17;right
Christopher Nolan;Live-action;Animals;Thriller;United States of America;2022;Yes;2h;Cinema;1036;0;M;21;2;18;left
Christopher Nolan;Animation film;Animals;Thriller;Mars;2022;No;2h;Cinema;1573;1;M;21;2;18;center
Tim Burton;Animation film;Animals;Thriller;Japan;End of the 19th century;No;2h;Cinema;1394;0;M;21;2;18;right
Steven Spielberg;Animation film;Humans;Science-fiction;Europe;End of the 19th century;Yes;2h;Platforms;2631;0;M;21;2;19;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Europe;End of the 19th century;No;1h 40min;Cinema;501;0;M;21;2;19;center
Tim Burton;Live-action;Humans;Thriller;United States of America;2100;No;1h 40min;Cinema;743;1;M;21;2;19;right
Tim Burton;Animation film;Animals;Thriller;United States of America;End of the 19th century;Yes;2h;Cinema;890;0;M;21;2;20;left
Tim Burton;Animation film;Humans;Thriller;Japan;2100;No;1h 40min;Platforms;2540;0;M;21;2;20;center
Steven Spielberg;Live-action;Humans;Science-fiction;United States of America;End of the 19th century;Yes;1h 40min;Cinema;6;1;M;21;2;20;right
Tim Burton;Live-action;Humans;Science-fiction;Mars;2100;Yes;1h 40min;Cinema;401;1;M;21;2;21;left
Christopher Nolan;Live-action;Humans;Science-fiction;Europe;2100;No;1h 40min;Platforms;2488;0;M;21;2;21;center
Christopher Nolan;Live-action;Animals;Science-fiction;Mars;End of the 19th century;Yes;2h;Platforms;2710;0;M;21;2;21;right
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Japan;2100;Yes;1h 40min;Cinema;395;1;M;21;2;22;left
Tim Burton;Live-action;Animals;Science-fiction;Europe;End of the 19th century;No;2h;Cinema;1343;0;M;21;2;22;center
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;United States of America;2100;No;2h;Platforms;3344;0;M;21;2;22;right
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;Mars;End of the 19th century;Yes;1h 40min;Cinema;124;1;M;21;2;23;left
Christopher Nolan;Live-action;Animals;Science-fiction;Mars;2022;No;1h 40min;Platforms;2422;0;M;21;2;23;center
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2022;Yes;2h;Cinema;1060;0;M;21;2;23;right
Christopher Nolan;Live-action;Robots/androids/humanoids;Thriller;Europe;2100;No;1h 40min;Platforms;2518;0;M;21;2;24;left
Tim Burton;Animation film;Animals;Thriller;Mars;2022;Yes;1h 40min;Cinema;278;0;M;21;2;24;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Japan;2100;Yes;2h;Cinema;1257;1;M;21;2;24;right
Christopher Nolan;Animation film;Animals;Science-fiction;Mars;2100;No;2h;Platforms;3427;0;M;21;2;25;left
Christopher Nolan;Animation film;Humans;Science-fiction;Mars;End of the 19th century;Yes;2h;Platforms;2701;1;M;21;2;25;center
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Europe;2100;Yes;1h 40min;Cinema;338;0;M;21;2;25;right
Christopher Nolan;Live-action;Animals;Thriller;United States of America;2100;Yes;1h 40min;Platforms;2044;1;M;21;2;26;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;2100;No;1h 40min;Cinema;737;0;M;21;2;26;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;Yes;1h 40min;Platforms;1815;0;M;21;2;26;right
Christopher Nolan;Live-action;Humans;Thriller;Europe;2022;No;2h;Cinema;1498;1;M;21;2;27;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;2022;Yes;2h;Cinema;1025;0;M;21;2;27;center
Christopher Nolan;Live-action;Animals;Thriller;Mars;End of the 19th century;No;2h;Platforms;3160;0;M;21;2;27;right
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Japan;End of the 19th century;Yes;2h;Platforms;2695;0;M;21;2;28;left
Tim Burton;Live-action;Humans;Thriller;Japan;End of the 19th century;No;2h;Platforms;3119;1;M;21;2;28;center
Steven Spielberg;Animation film;Animals;Thriller;Mars;2022;No;1h 40min;Cinema;711;0;M;21;2;28;right
Steven Spielberg;Animation film;Animals;Science-fiction;Europe;End of the 19th century;Yes;1h 40min;Cinema;45;1;M;21;2;29;left
Tim Burton;Live-action;Animals;Science-fiction;Mars;2022;No;1h 40min;Cinema;695;0;M;21;2;29;center
Steven Spielberg;Animation film;Animals;Science-fiction;Europe;2100;No;1h 40min;Cinema;765;0;M;21;2;29;right
Tim Burton;Live-action;Humans;Thriller;United States of America;2022;No;1h 40min;Platforms;2327;0;M;21;2;30;left
Steven Spielberg;Live-action;Humans;Thriller;United States of America;2100;Yes;1h 40min;Platforms;2040;0;M;21;2;30;center
Tim Burton;Animation film;Humans;Science-fiction;Europe;End of the 19th century;Yes;2h;Cinema;902;1;M;21;2;30;right
Steven Spielberg;Animation film;Humans;Thriller;United States of America;2022;Yes;1h 40min;Platforms;1893;1;F;23;3;31;left
Steven Spielberg;Live-action;Animals;Thriller;Mars;End of the 19th century;No;1h 40min;Platforms;2298;0;F;23;3;31;center
Steven Spielberg;Animation film;Humans;Thriller;Mars;2100;No;1h 40min;Platforms;2577;0;F;23;3;31;right
Christopher Nolan;Animation film;Animals;Thriller;Mars;2100;No;1h 40min;Cinema;853;0;F;23;3;32;left
Christopher Nolan;Animation film;Animals;Thriller;Mars;2100;Yes;1h 40min;Cinema;421;0;F;23;3;32;center
Steven Spielberg;Animation film;Animals;Thriller;United States of America;End of the 19th century;Yes;2h;Platforms;2619;1;F;23;3;32;right
Christopher Nolan;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;Yes;2h;Cinema;877;0;F;23;3;33;left
Christopher Nolan;Animation film;Humans;Thriller;Japan;2100;Yes;1h 40min;Cinema;379;0;F;23;3;33;center
Christopher Nolan;Animation film;Animals;Science-fiction;Japan;End of the 19th century;No;2h;Platforms;3103;1;F;23;3;33;right
Steven Spielberg;Live-action;Animals;Science-fiction;United States of America;2022;Yes;1h 40min;Platforms;1884;0;F;23;3;34;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Mars;2022;No;2h;Platforms;3309;1;F;23;3;34;center
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2022;No;2h;Cinema;1493;0;F;23;3;34;right
Steven Spielberg;Live-action;Humans;Science-fiction;Mars;2022;Yes;1h 40min;Cinema;258;0;F;23;3;35;left
Christopher Nolan;Animation film;Animals;Science-fiction;Europe;End of the 19th century;No;2h;Platforms;3067;0;F;23;3;35;center
Tim Burton;Live-action;Animals;Science-fiction;Europe;End of the 19th century;Yes;2h;Platforms;2639;1;F;23;3;35;right
Tim Burton;Live-action;Humans;Science-fiction;United States of America;2022;Yes;2h;Cinema;1013;0;F;23;3;36;left
Christopher Nolan;Animation film;Humans;Thriller;Mars;End of the 19th century;No;1h 40min;Platforms;2287;1;F;23;3;36;center
Steven Spielberg;Animation film;Animals;Science-fiction;United States of America;2100;Yes;2h;Cinema;1161;0;F;23;3;36;right
Steven Spielberg;Live-action;Humans;Science-fiction;United States of America;2022;Yes;2h;Cinema;1014;0;F;23;3;37;left
Tim Burton;Live-action;Animals;Thriller;Mars;2100;Yes;1h 40min;Cinema;425;1;F;23;3;37;center
Tim Burton;Animation film;Humans;Thriller;Mars;2100;Yes;2h;Cinema;1280;0;F;23;3;37;right
Tim Burton;Live-action;Animals;Science-fiction;Japan;2022;Yes;1h 40min;Cinema;227;0;F;23;3;38;left
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;Yes;2h;Cinema;950;0;F;23;3;38;center
Steven Spielberg;Animation film;Humans;Thriller;Japan;2100;No;2h;Platforms;3405;1;F;23;3;38;right
Christopher Nolan;Animation film;Humans;Science-fiction;Europe;2022;Yes;1h 40min;Platforms;1909;1;F;23;3;39;left
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2022;Yes;1h 40min;Platforms;1926;0;F;23;3;39;center
Steven Spielberg;Animation film;Animals;Thriller;United States of America;2100;No;2h;Platforms;3339;0;F;23;3;39;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Japan;End of the 19th century;Yes;2h;Cinema;969;0;F;23;3;40;left
Steven Spielberg;Animation film;Animals;Science-fiction;Japan;2100;No;2h;Cinema;1665;0;F;23;3;40;center
Tim Burton;Animation film;Animals;Science-fiction;Mars;End of the 19th century;No;1h 40min;Platforms;2276;1;F;23;3;40;right
Steven Spielberg;Animation film;Humans;Thriller;Japan;2100;Yes;1h 40min;Platforms;2109;1;F;23;3;41;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Mars;End of the 19th century;No;1h 40min;Cinema;555;0;F;23;3;41;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Europe;End of the 19th century;Yes;1h 40min;Platforms;1782;0;F;23;3;41;right
Tim Burton;Animation film;Animals;Science-fiction;Europe;2100;Yes;1h 40min;Cinema;332;0;F;23;3;42;left
Christopher Nolan;Animation film;Animals;Science-fiction;Europe;2100;No;1h 40min;Cinema;763;0;F;23;3;42;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Thriller;Mars;2100;Yes;2h;Platforms;3024;1;F;23;3;42;right
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Europe;2100;No;2h;Cinema;1653;0;F;23;3;43;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Mars;End of the 19th century;No;1h 40min;Platforms;2285;1;F;23;3;43;center
Tim Burton;Live-action;Humans;Science-fiction;Mars;2022;Yes;1h 40min;Cinema;257;0;F;23;3;43;right
Steven Spielberg;Live-action;Humans;Thriller;Europe;2100;No;1h 40min;Platforms;2508;1;F;23;3;44;left
Christopher Nolan;Live-action;Animals;Science-fiction;Europe;2022;No;2h;Cinema;1486;0;F;23;3;44;center
Christopher Nolan;Animation film;Humans;Thriller;Mars;2100;Yes;1h 40min;Cinema;415;0;F;23;3;44;right
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Mars;2100;No;2h;Platforms;3437;0;F;23;3;45;left
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Europe;2022;No;2h;Platforms;3222;1;F;23;3;45;center
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Japan;2100;Yes;1h 40min;Cinema;392;0;F;23;3;45;right
Christopher Nolan;Live-action;Humans;Science-fiction;United States of America;End of the 19th century;No;2h;Cinema;1300;1;F;23;4;46;left
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;2100;Yes;1h 40min;Platforms;2032;0;F;23;4;46;center
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;Mars;2100;No;2h;Platforms;3436;0;F;23;4;46;right
Steven Spielberg;Live-action;Humans;Thriller;United States of America;End of the 19th century;Yes;2h;Platforms;2616;1;F;23;4;47;left
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Europe;2022;No;1h 40min;Cinema;644;0;F;23;4;47;center
Tim Burton;Live-action;Humans;Science-fiction;United States of America;2100;No;2h;Platforms;3317;0;F;23;4;47;right
Christopher Nolan;Animation film;Animals;Science-fiction;Japan;2022;No;2h;Cinema;1519;0;F;23;4;48;left
Steven Spielberg;Animation film;Animals;Thriller;Mars;End of the 19th century;Yes;1h 40min;Platforms;1863;0;F;23;4;48;center
Tim Burton;Animation film;Humans;Science-fiction;Europe;2100;Yes;2h;Platforms;2918;1;F;23;4;48;right
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Mars;End of the 19th century;Yes;1h 40min;Cinema;125;0;F;23;4;49;left
Tim Burton;Live-action;Animals;Thriller;Japan;2100;No;2h;Cinema;1685;0;F;23;4;49;center
Tim Burton;Live-action;Animals;Science-fiction;Japan;2022;Yes;2h;Platforms;2819;1;F;23;4;49;right
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Japan;2022;Yes;1h 40min;Platforms;1958;0;F;23;4;50;left
Steven Spielberg;Animation film;Humans;Thriller;Mars;2022;Yes;1h 40min;Cinema;273;1;F;23;4;50;center
Christopher Nolan;Live-action;Animals;Thriller;United States of America;2022;No;1h 40min;Cinema;604;0;F;23;4;50;right
Tim Burton;Live-action;Animals;Science-fiction;United States of America;2022;No;2h;Platforms;3179;0;F;23;4;51;left
Tim Burton;Animation film;Animals;Science-fiction;Europe;End of the 19th century;No;1h 40min;Platforms;2204;1;F;23;4;51;center
Christopher Nolan;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;Yes;1h 40min;Cinema;13;0;F;23;4;51;right
Steven Spielberg;Live-action;Animals;Thriller;Japan;2022;Yes;2h;Platforms;2838;0;F;23;4;52;left
Tim Burton;Live-action;Humans;Science-fiction;Japan;2022;No;1h 40min;Cinema;653;0;F;23;4;52;center
Tim Burton;Live-action;Humans;Thriller;Europe;2100;No;1h 40min;Cinema;779;1;F;23;4;52;right
Christopher Nolan;Animation film;Robots/androids/humanoids;Science-fiction;Europe;2022;No;2h;Cinema;1489;0;F;23;4;53;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;Yes;2h;Platforms;2681;0;F;23;4;53;center
Steven Spielberg;Live-action;Humans;Science-fiction;Europe;2100;No;1h 40min;Platforms;2490;1;F;23;4;53;right
Christopher Nolan;Live-action;Animals;Thriller;Japan;End of the 19th century;Yes;2h;Cinema;964;0;F;23;4;54;left
Steven Spielberg;Animation film;Animals;Thriller;Mars;2022;No;1h 40min;Platforms;2439;1;F;23;4;54;center
Tim Burton;Live-action;Humans;Thriller;United States of America;2022;No;2h;Platforms;3191;0;F;23;4;54;right
Steven Spielberg;Animation film;Animals;Thriller;Europe;2100;Yes;1h 40min;Cinema;351;0;F;23;4;55;left
Christopher Nolan;Live-action;Animals;Science-fiction;Japan;2022;No;1h 40min;Cinema;658;0;F;23;4;55;center
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Japan;End of the 19th century;No;2h;Platforms;3131;1;F;23;4;55;right
Christopher Nolan;Live-action;Robots/androids/humanoids;Thriller;United States of America;End of the 19th century;No;2h;Platforms;3058;0;F;23;4;56;left
Christopher Nolan;Animation film;Humans;Science-fiction;Mars;End of the 19th century;No;1h 40min;Platforms;2269;0;F;23;4;56;center
Tim Burton;Animation film;Robots/androids/humanoids;Thriller;Japan;End of the 19th century;No;1h 40min;Cinema;536;1;F;23;4;56;right
Tim Burton;Animation film;Humans;Science-fiction;Europe;2100;No;1h 40min;Platforms;2486;0;F;23;4;57;left
Christopher Nolan;Animation film;Animals;Thriller;Europe;2022;Yes;2h;Platforms;2797;1;F;23;4;57;center
Tim Burton;Animation film;Humans;Thriller;Japan;2022;No;1h 40min;Platforms;2396;0;F;23;4;57;right
Christopher Nolan;Live-action;Robots/androids/humanoids;Science-fiction;Mars;2022;Yes;1h 40min;Platforms;1996;1;F;23;4;58;left
Tim Burton;Live-action;Humans;Thriller;United States of America;2100;Yes;1h 40min;Platforms;2039;0;F;23;4;58;center
Steven Spielberg;Live-action;Humans;Science-fiction;Mars;End of the 19th century;Yes;2h;Cinema;978;0;F;23;4;58;right
Steven Spielberg;Live-action;Humans;Thriller;Mars;End of the 19th century;Yes;1h 40min;Platforms;1860;1;F;23;4;59;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Mars;End of the 19th century;No;1h 40min;Platforms;2301;0;F;23;4;59;center
Christopher Nolan;Animation film;Animals;Thriller;United States of America;End of the 19th century;No;1h 40min;Cinema;457;0;F;23;4;59;right
Steven Spielberg;Live-action;Humans;Science-fiction;Japan;2022;No;1h 40min;Cinema;654;0;F;23;4;60;left
Steven Spielberg;Live-action;Animals;Thriller;Europe;End of the 19th century;Yes;2h;Platforms;2658;0;F;23;4;60;center
Steven Spielberg;Live-action;Humans;Thriller;United States of America;End of the 19th century;Yes;2h;Cinema;888;1;F;23;4;60;right
Christopher Nolan;Live-action;Humans;Science-fiction;Europe;2100;No;2h;Platforms;3352;1;F;23;5;61;left
Christopher Nolan;Live-action;Animals;Thriller;United States of America;2022;No;2h;Platforms;3196;0;F;23;5;61;center
Tim Burton;Live-action;Animals;Thriller;United States of America;2100;Yes;1h 40min;Platforms;2045;0;F;23;5;61;right
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;2100;Yes;2h;Cinema;1166;1;F;23;5;62;left
Christopher Nolan;Live-action;Humans;Thriller;Europe;2100;Yes;2h;Cinema;1210;0;F;23;5;62;center
Steven Spielberg;Animation film;Humans;Thriller;Mars;2022;Yes;1h 40min;Cinema;273;0;F;23;5;62;right
Christopher Nolan;Animation film;Animals;Thriller;United States of America;End of the 19th century;Yes;1h 40min;Cinema;25;0;F;23;5;63;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;Yes;1h 40min;Platforms;1743;1;F;23;5;63;center
Steven Spielberg;Live-action;Humans;Science-fiction;Europe;2022;Yes;1h 40min;Cinema;186;0;F;23;5;63;right
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Mars;2100;No;1h 40min;Cinema;845;0;F;23;5;64;left
Tim Burton;Live-action;Animals;Thriller;Europe;2100;No;1h 40min;Cinema;785;1;F;23;5;64;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Mars;2100;Yes;2h;Platforms;3021;0;F;23;5;64;right
Steven Spielberg;Live-action;Animals;Thriller;Japan;End of the 19th century;Yes;1h 40min;Cinema;102;0;F;23;5;65;left
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Europe;End of the 19th century;No;2h;Platforms;3077;0;F;23;5;65;center
Steven Spielberg;Animation film;Robots/androids/humanoids;Thriller;Japan;2022;Yes;1h 40min;Platforms;1977;1;F;23;5;65;right
Tim Burton;Live-action;Robots/androids/humanoids;Science-fiction;Europe;End of the 19th century;Yes;2h;Cinema;917;0;F;23;5;66;left
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;2100;No;1h 40min;Cinema;734;0;F;23;5;66;center
Steven Spielberg;Live-action;Humans;Thriller;Mars;2100;No;2h;Cinema;1716;1;F;23;5;66;right
Tim Burton;Animation film;Animals;Science-fiction;Mars;2022;Yes;2h;Cinema;1124;0;F;23;5;67;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;Japan;2100;No;2h;Platforms;3399;0;F;23;5;67;center
Christopher Nolan;Animation film;Humans;Thriller;United States of America;2100;No;2h;Cinema;1603;1;F;23;5;67;right
Christopher Nolan;Animation film;Humans;Science-fiction;United States of America;2100;No;1h 40min;Cinema;721;0;F;23;5;68;left
Christopher Nolan;Animation film;Humans;Science-fiction;Japan;2100;No;2h;Cinema;1657;1;F;23;5;68;center
Tim Burton;Live-action;Animals;Science-fiction;Japan;2100;No;1h 40min;Cinema;803;0;F;23;5;68;right
Steven Spielberg;Live-action;Animals;Thriller;Mars;End of the 19th century;Yes;2h;Cinema;1002;1;F;23;5;69;left
Tim Burton;Animation film;Humans;Science-fiction;Japan;End of the 19th century;No;2h;Platforms;3098;0;F;23;5;69;center
Tim Burton;Animation film;Humans;Thriller;Europe;End of the 19th century;No;2h;Cinema;1352;0;F;23;5;69;right
Tim Burton;Live-action;Animals;Science-fiction;Japan;2022;No;2h;Platforms;3251;0;F;23;5;70;left
Steven Spielberg;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;No;1h 40min;Cinema;447;0;F;23;5;70;center
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;No;2h;Platforms;3038;1;F;23;5;70;right
Christopher Nolan;Animation film;Humans;Thriller;United States of America;2022;No;1h 40min;Cinema;595;1;F;23;5;71;left
Steven Spielberg;Animation film;Animals;Science-fiction;Europe;End of the 19th century;No;2h;Cinema;1341;0;F;23;5;71;center
Christopher Nolan;Animation film;Robots/androids/humanoids;Thriller;Japan;2100;No;1h 40min;Cinema;823;0;F;23;5;71;right
Tim Burton;Animation film;Humans;Science-fiction;Mars;End of the 19th century;No;2h;Cinema;1406;1;F;23;5;72;left
Steven Spielberg;Animation film;Animals;Thriller;United States of America;2100;Yes;2h;Cinema;1179;0;F;23;5;72;center
Christopher Nolan;Animation film;Animals;Thriller;Europe;2100;No;1h 40min;Platforms;2509;0;F;23;5;72;right
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;Japan;End of the 19th century;No;1h 40min;Cinema;522;0;F;23;5;73;left
Christopher Nolan;Live-action;Humans;Thriller;Europe;2100;No;1h 40min;Platforms;2506;1;F;23;5;73;center
Tim Burton;Animation film;Robots/androids/humanoids;Science-fiction;Mars;2100;No;2h;Cinema;1706;0;F;23;5;73;right
Tim Burton;Live-action;Robots/androids/humanoids;Thriller;Japan;2100;Yes;2h;Cinema;1259;0;F;23;5;74;left
Tim Burton;Live-action;Animals;Thriller;Japan;End of the 19th century;No;1h 40min;Platforms;2261;0;F;23;5;74;center
Steven Spielberg;Live-action;Robots/androids/humanoids;Science-fiction;United States of America;End of the 19th century;Yes;1h 40min;Cinema;18;1;F;23;5;74;right
